     3          55       1.2       1.2       1.2       20
     4         111       0.76      1.15      1.15      15
     5         188       0.54      0.82      1.13      15
     6         285       0.37      0.63      0.94       7
     7         400       0.285     0.50      0.80       5
     8         535       0.23      0.41      0.68       3
     9         685       0.18      0.33      0.57       5
    10         867       0.14      0.26      0.46       7
    11        1072       0.117     0.225     0.407      5
    12        1305       0.091     0.175     0.322      5
    13        1560       0.077     0.151     0.281      5
    14        1840       0.065     0.128     0.241      5
    15        2149       0.055     0.108     0.205      5
