13      73      1.96    3.6     5.0     20
14      100     1.70    3.4     5.1     20
15      135     1.55    3.2     4.8     15
16      165     1.41    3.0     4.8     10
17      200     1.40    2.8     4.45    15
18      246     1.57    2.7     4.3     10
19      294     1.50    2.5     4.0     20
20      347     1.25    2.2     3.7     10
21      399     1.16    2.0     3.4     15
22      455     0.97    1.7     3.0     15
23      513     0.86    1.5     2.7     15
24      575     0.77    1.3     2.35    15
25      640     0.66    1.15    2.10    15
26      708     0.56    1.0     1.80    10
27      779     0.47    0.9     1.62    10
28      855     0.35    0.75    1.39    15
29      931     0.28    0.65    1.20    15
30      1022    0.28    0.65    1.20    20
31      1115    0.26    0.6     1.15    25
32      1217    0.24    0.55    1.10    20
33      1323    0.23    0.5     1.07    15
34      1436    0.21    0.5     1.0     15
35      1550    0.19    0.45    0.93    15
36      1675    0.18    0.4     0.80    20
